 ;3;1;Antananarivo;Fasan'ny Karana;Fasan'ny karana,en face Rimatex MAD, vue vers Anosizato;47.50905;-18.94548;12*3;6;5;3;BT12-33;5;TELMA;;1
 ;3;1;Antananarivo;Antanimena;En face MAGRO;47.52095;-18.901;4*3;6;5;3;27;54;TELMA;;1
 ;3;1;Antananarivo;Ampandrana;En face Nane;47.533187;-18.906571;4*3;6;5;5;236;54;TELMA;;1
 ;3;1;Antananarivo;Ambohimanarina;Ambohimanarina côté mairie;47.49286;-18.86871;12*3;1;5;3;BT12-27;5;TELMA;;1
 ;3;1;Antananarivo;Route Digue;Route digue, près croisement vers Ambotrimanjaka;47.48261;-18.87715;12*6;1;5;3;BT 12-4/6;4;TELMA;;1
 ;3;1;Antananarivo;Ambodivona;Tanà Water Front  face Parking droite ;47.52534;-18.8914;4*3;6;5;3;84;5;TELMA;;1
 ;3;1;Antananarivo;Antanimena;En face CEG Antanimena vers Soarano;47.51916;-18.89854;4*3;6;5;3;1T;4;TELMA;;1
 ;9;6;Toamasina;Manangareza;En face station Jovenna ;;;12*3;6;5;5;35;4;TELMA;;1
 ;9;6;Toamasina;Tanambao V;En face gare routière  ;-18.15124;49.40644;12*3;6;5;5;60;50;TELMA;;1
 ;9;6;Toamasina;Cité Canada ;Blvd de l'Ivondro et rue de Rigny (City Canada) - Blvd Joffre;-18.163;49.4104;6*3;4;5;4;MDTO018;54;TELMA;;1
 ;7;7;Toliara;Tanambao;Devant mur travaux publics;21.2626;47.0553;4*3;6;5;9;TELMA 035;54;TELMA;;1
 ;7;7;Toliara;Tsienegea;Devant Trésor Public ;23.211246;43.401301;4*3;6;5;9;TELMA 036;54;TELMA;;1
 ;7;7;Toliara;Avenue ;Bord de la mer devant Bazar Filongoa;23.213034;43.40178;4*3;6;5;9;TELMA 037;4;TELMA;;1
 ;12;1;Tsiroanomandidy;Tsiroanomandidy;Ambodimanga, Ilot face vers la ville;13.23942;48.12391;6*3;6;5;5;382;6;TELMA;;1
 ;9;6;Vatomandry;Vatomandry;Devant la marché sur le carrefour;;;6*3;6;5;5;73;6;TELMA;;1
 ;19;3;Vohémar;Vohémar;Centre ville Andranomasimbe à côté poste;13.212816;50.01939;4*3;6;5;3;2;54;TELMA;;1
 ;19;3;Vohémar;Vohémar;Gare routière face TOTAL;13.223699;49.591284;8*3;6;5;8;RNA 017;4;TELMA;;1
 ;22;4;Vohipeno;Vohipeno;Devant CEG;22.204815;47.503976;6*3;6;5;9;TELMA 038;6;TELMA;;1
 ;21;2;Ambatolampy;Ambodirina ;Digue sur la route vers le marché;19.225626;47.254011;6*3;6;5;9;TELMA 039;50;TELMA;;1
 ;13;3;Ambilobe;Ledama;entrée de la ville - croisement Mairie;13.23439;48.124024;8*3;6;5;3;1B8ABLB;50;TELMA;;1
 ;2;4;Ambositra;Ambositra;Devant marché Sabotsy;20.314504;47.14'5132;6*3;6;5;9;TELMA 040;50;TELMA;;1
 ;1;6;Ambatondrazaka;Ambatondrazaka;Bazar Madio tsy fafana;23.202694;47.36466;4*3;6;5;5;83;50;TELMA;;1
 ;5;7;Ambovombe;Ambovombe;Devant bureau Région;13.2333.48;48.154256;6*3;6;5;5;386;50;TELMA;;1
 ;7;7;Ampanihy;Ampanihy;Face station service devant Hotel Angora;;;6*3;6;5;5;388;50;TELMA;;1
 ;3;5;Ankazobe;Ankazobe;Entrée de la ville croisement vers Majunga;;;4*3;6;5;9;TELMA 041;50;TELMA;;1
 ;20;5;Antsohihy;Antsohihy;Devant dépôt Colas, sortie vers Diégo, rond point;;;12*3;1;5;3;1B12ANTH;54;TELMA;;1
 ;8;4;Farafangana;Farafangana;Devant CEG;22.491742;47.495094;4*3;6;5;9;TELMA 042;50;TELMA;;1
 ;9;6;Brickaville;Brickaville;Vue vers Tanà;;;6*3;6;5;5;365;50;TELMA;;1
 ;6;7;Fort Dauphin;Fort Dauphin;Ampasikabo, en face SOMIDA & Mafana Club;-25.0259180;46.9904550;4*3;6;5;5;164;50;TELMA;;1
 ;15;4;Ihosy;Ihosy;Morarano en face EPP;22.2409;46.0739;4*3;6;5;9;TELMA 043;50;TELMA;;1
 ;1;6;Moramanga;Moramanga;A côté station Shell;13.232004;48.162608;6*3;6;5;5;376;50;TELMA;;1
 ;4;6;Sainte Marie;Sainte Marie;Croisement des sœurs, route du port;;;4*3;6;5;5;375;50;TELMA;;1
 ;11;5;Mahajanga;Belobaka;Entrée de la ville ;;;4*3;6;5;9;TELMA 044;50;TELMA;;1
 ;19;3;Sambava;Sambava;Route vers marché Antanifotsy;14.152429;50.85565;4*3;6;5;3;4;50;TELMA;;1
 ;19;3;Antalaha;Antalaha;Entrée de la ville barrière Police;14.5215;50.153963;8*3;6;5;8;RNA 018;50;TELMA;;1
 ;3;1;Antananarivo;Anosizato;Entrée pont vers Ampitatafika près JOVENA;47.499385;-18.937665;4*3;6;5;5;224;50;TELMA;;1
 ;3;1;Antananarivo;Ankaditoho;Après école La francophonie vers Tsimbazaza;47.52506;-18.94314;4*3;6;5;3;Z5;50;TELMA;;1
 ;3;1;Antananarivo;Analamahitsy;Devant Colyseum vers Analamahitsy;47.54514;-18.87174;8*3;6;5;3;BT8-1;50;TELMA;;1
 ;3;1;Antananarivo;Ambodivona;En face Galana ;47.53057;-18.8974;4*3;6;5;5;E14;50;TELMA;;1
 ;3;1;Antananarivo;Ampatsakana;Carrefour vers Antsahamanitra;47.51885;-18.91293;4*3;6;5;5;244;50;TELMA;;1
 ;13;3;Antsiranana;Antsiranana;Croisement XY route Ramena et Université;;;6*3;6;5;8;RNA 019;54;TELMA;;1
 ;13;3;Antsiranana;Antsiranana;Diego, devant bazar tsena n°1, carrefour marché;;;4*3;6;5;3;4;54;TELMA;;1
 ;9;6;Toamasina;Boulevard Ratsimilaho;Avenue de l'indépendance;49.4174;-18.1541;6*3;4;5;4;MDTO001;54;TELMA;;1
